,id,name,timestamp,free_bikes,empty_slots
0,023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-16T18:24:33.087331Z,3,12
1,02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-16T18:24:33.040187Z,0,15
2,030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-16T18:24:33.037006Z,0,25
3,0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-16T18:24:33.087379Z,18,2
4,104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-16T18:24:33.037312Z,6,12
5,10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-16T18:24:33.037237Z,0,15
6,15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-16T18:24:33.037272Z,8,11
7,16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-16T18:24:33.037389Z,11,12
8,18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-16T18:24:33.036878Z,4,10
9,18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-16T18:24:33.037120Z,0,15
10,198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-16T18:24:33.040156Z,5,9
11,1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-16T18:24:33.037063Z,10,9
12,1df27d4197c65e404466107444967600,Casa del Agua,2024-12-16T18:24:33.087416Z,12,1
13,2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-16T18:24:33.036820Z,3,24
14,280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-16T18:24:33.036944Z,5,10
15,2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-16T18:24:33.038862Z,1,14
16,2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-16T18:24:33.036853Z,1,13
17,2d16841278003915e01f897638776f63,Parque de Oza,2024-12-16T18:24:33.042482Z,2,13
18,305b3112f5f1083876b2ce9146742596,Aparcamiento Matogrande,2024-12-16T18:24:33.037081Z,8,7
19,447505d0e57db2f71d7572ceedcbb046,Agrela,2024-12-16T18:24:33.037331Z,1,22
20,4c0262f67097091b43ca54b09a072bce,Paseo de Los Puentes,2024-12-16T18:24:33.037178Z,2,17
21,5053bbeb34b876b59c45121ab341af93,Ágora,2024-12-16T18:24:33.040258Z,0,23
22,5330f247a28be53b762427542867dd73,Campo de La Leña (Plaza De España),2024-12-16T18:24:33.037139Z,4,10
23,7446dcc290f2570a47d4ed2bc9282ceb,Cuatro Caminos,2024-12-16T18:24:33.042522Z,2,20
24,75e54fb28a5679603047bbd282047916,Puerto - Palexco,2024-12-16T18:24:33.036905Z,2,13
25,88a676510bd52100c911fb1a9b5f87b4,Expocoruna,2024-12-16T18:24:33.037449Z,7,12
26,8c078d095787b97917c07ab40bf3594e,Plaza Recife,2024-12-16T18:24:33.040584Z,1,14
27,8dfd4b95e7f499296e03312c5b1f9e22,Plaza de San Rosendo,2024-12-16T18:24:33.037159Z,3,12
28,938a003c099dc9b2c7411f2000b88022,Puerta Real,2024-12-16T18:24:33.037216Z,14,8
29,95a1abdf86ec8d29deb7380938c2e02e,Plaza de Conchiñas,2024-12-16T18:24:33.037026Z,0,15
30,9ba72d8f143fb690546e6950b2d53c97,Estación Tren,2024-12-16T18:24:33.036966Z,2,13
31,9e7f93baecab42d934a507a9ef7e5938,Adormideras,2024-12-16T18:24:33.037292Z,5,13
32,9e84dc079b6d308cb74dedeb0f98f345,Marineda,2024-12-16T18:24:33.037350Z,6,17
33,a2893fa94f1de9a32b0b210b994f3e10,Parque de Santa Margarita,2024-12-16T18:24:33.087357Z,3,10
34,a876e4f21fbf7e9873b395485d080c1f,Ciudad Escolar,2024-12-16T18:24:33.037510Z,18,0
35,b376679bc7b9464f8f0edc775d71d5ad,Parque de Eirís,2024-12-16T18:24:33.037420Z,2,17
36,b55aa9b4a84ef790d95fe5c43e4bd1ad,Novo Mesoiro,2024-12-16T18:24:33.037369Z,2,21
37,bf735b3d92053c97f825a333f6686aac,Chuac,2024-12-16T18:24:33.042547Z,7,12
38,c158d9e1e35d2323bb2bbf49da32c47b,Casa de Sol,2024-12-16T18:24:33.037100Z,0,15
39,cc7469fb9362066706da43aafbe02e1f,Centro deportivo Elviña,2024-12-16T18:24:33.087291Z,2,16
40,d03cf3099b20bc41dddaf4ee8b282dfa,Maestranza,2024-12-16T18:24:33.037478Z,7,11
41,d9b01b13fb85506d591617ab5e8cf4bc,Mirador de los Castros,2024-12-16T18:24:33.036986Z,3,15
42,daa753bf3bdb6d5b722734d126b843b1,Plaza de Vigo,2024-12-16T18:24:33.037044Z,15,2
43,e97735d79704dc080f7ee1a2af1e402f,Obelisco,2024-12-16T18:24:33.036924Z,1,21
44,f04ee4ffca2a6f3daacba88a9eee8487,Millenium,2024-12-16T18:24:33.087397Z,4,10
45,f702a7b2b1631ace3781c405acb99b70,Praza de Ourense,2024-12-16T18:24:33.038892Z,2,11
46,f86954a7b51703f735bce5b549cb4e16,Parque del Agra,2024-12-16T18:24:33.040324Z,5,10
47,fb0d3f40ea7570546b171b43ccd57a2a,Rosales-Labañou,2024-12-16T18:24:33.040356Z,3,12
48,fee1ae73b32ffb83e1bf3f6e83e616b7,Centro Cívico Monelos,2024-12-16T18:24:33.037197Z,2,13
